StateFP,Year,monetary_drought,rate_drought,monetary_flood,rate_flood,monetary_smoke,rate_smoke,State,ObjectId
18,2018,476.1315018,7.452596351,333.5304469,5.220548908,2797.888735,43.25699394,Indiana,179
18,2019,497.1043652,7.73926195,249.5842799,3.885699373,2805.346591,43.52433144,Indiana,180
18,2020,218.3025593,3.384723091,205.4928509,3.186111971,2761.267544,43.21272255,Indiana,181
18,2014,988.7489749,15.74664555,161.3765434,2.570054982,2770.306785,44.1123384,Indiana,182
19,2007,1049.279823,36.82650898,189.7793237,6.660673175,1427.250823,49.41546811,Iowa,183
19,2008,535.5744778,18.68784614,598.5585436,20.88555454,1459.912202,50.37786118,Iowa,184
19,2009,384.3146983,13.33857988,375.8594281,13.04511909,1191.54247,40.04946275,Iowa,185
19,2011,4.055412134,0.139049923,662.1937935,22.70496631,1592.22445,53.74704168,Iowa,186
19,2012,398.2158201,13.59777996,184.1401514,6.287789518,2056.792937,68.41679063,Iowa,187
19,2013,885.2573423,30.03696025,130.5368321,4.429141051,2096.995687,71.53386927,Iowa,188
19,2010,130.866367,4.514432502,567.8061441,19.58732844,1413.398671,47.54990526,Iowa,189
19,2015,596.9909627,20.03766846,131.7837587,4.423248306,1636.880296,56.04547824,Iowa,190
19,2016,284.046612,9.493713395,212.2398296,7.09370937,1650.65447,56.70559588,Iowa,191
19,2017,294.2348184,9.793721547,107.4409285,3.576213522,1241.692584,42.45752673,Iowa,192
19,2018,320.457425,10.63685503,208.6895646,6.926975231,1672.77463,57.50071307,Iowa,193
19,2019,283.5518541,9.375029789,738.3662157,24.41248459,1609.183622,54.23944863,Iowa,194
19,2020,27.22919575,0.898250506,259.6927507,8.566876039,1408.267714,48.34967516,Iowa,195
19,2014,890.6463107,30.03321137,141.7882166,4.781197011,1679.764259,57.38725792,Iowa,196
20,2007,751.3052478,28.40907718,100.3646225,3.79508371,1089.889107,35.23703203,Kansas,197
20,2008,227.7808836,8.538563455,102.1708499,3.829962689,1226.176536,41.3782009,Kansas,198
20,2010,347.8471703,12.80811439,77.6309207,2.85845566,1038.763468,31.85196819,Kansas,199
20,2011,594.2410311,21.77553648,46.48855667,1.703539824,1484.436038,51.61455889,Kansas,200
20,2012,1873.773709,68.21885648,20.55158927,0.748225846,1852.754402,65.77551298,Kansas,201
20,2009,145.861494,5.420206795,84.21575972,3.129453982,951.5151167,30.78915815,Kansas,202
20,2016,686.6076377,24.6887161,110.4414543,3.971202129,1575.464623,55.99112722,Kansas,203
20,2013,1860.901233,67.50288964,33.17853008,1.203527954,1972.484211,69.85775399,Kansas,204
20,2014,599.6560908,21.67847541,59.22761948,2.141168099,1597.499639,55.00790426,Kansas,205
20,2015,825.69748,29.7356003,75.20510327,2.708339247,1582.308756,53.29012407,Kansas,206
20,2020,120.0015138,4.299252958,121.4947564,4.352750844,1573.235422,55.01792038,Kansas,207
20,2017,732.4305777,26.33652188,84.96759774,3.055239726,1222.684434,48.48160646,Kansas,208
20,2018,631.1419031,22.66292856,48.01106993,1.723972759,1702.3248,63.15728876,Kansas,209
20,2019,431.3082758,15.47625774,217.5655389,7.806714001,1478.801132,53.0946224,Kansas,210
21,2013,1876.250241,44.72072992,71.88013557,1.713274732,1788.465404,40.97991924,Kentucky,211
21,2007,984.5215647,24.34621435,75.08831161,1.856857376,2116.337503,51.56509582,Kentucky,212
21,2008,2014.036815,49.41955815,174.0021606,4.269589229,2012.223982,47.86590848,Kentucky,213
21,2009,1397.493813,34.07507304,95.95742373,2.339728586,660.5838395,13.96648207,Kentucky,214
21,2010,531.8482868,12.87241026,127.1089337,3.076438116,1208.90758,28.31648129,Kentucky,215
21,2011,2489.439282,59.90399225,355.465297,8.553649231,2227.045502,51.65587251,Kentucky,216
21,2014,509.2518865,12.10283693,102.9112703,2.44578048,1425.645167,29.64898757,Kentucky,217
21,2015,389.454495,9.22448771,243.0221767,5.756141247,1549.041309,33.88055768,Kentucky,218
21,2016,1029.190035,24.30083991,145.9573591,3.446289119,1105.432511,26.75470049,Kentucky,219
21,2017,1169.797939,27.51051504,61.37772263,1.443439679,903.1742909,23.46973811,Kentucky,220
21,2018,385.2163762,9.0360376,260.6477304,6.114025359,1744.895952,40.21759953,Kentucky,221
21,2019,218.3177862,5.108697012,269.4291193,6.304716444,1804.985189,43.0890931,Kentucky,222
21,2020,578.5445199,13.50872433,173.2217545,4.044641078,1882.199768,44.52794708,Kentucky,223
21,2012,2171.709361,52.02108446,172.435548,4.130517815,2416.658115,55.25261312,Kentucky,224
22,2007,2638.969678,63.4855764,55.67131842,1.339282436,1613.377531,38.29662444,Louisiana,225
22,2008,1919.564166,45.5541581,45.41448534,1.077754358,1465.734265,35.59242119,Louisiana,226
22,2010,1230.20589,28.49321317,262.1363652,6.071428688,1520.105612,36.8550415,Louisiana,227
22,2011,2569.493221,59.09332185,58.66693187,1.349224765,2236.151743,52.09825474,Louisiana,228
22,2012,4372.366084,99.97885537,104.990041,2.400710262,2611.359064,60.40285828,Louisiana,229
22,2009,497.3963036,11.65663597,110.6201957,2.592418446,741.0304814,23.02700784,Louisiana,230
22,2014,1288.945565,29.18741367,37.22436325,0.842923796,1503.584161,38.0264143,Louisiana,231
22,2015,194.8447824,4.39161449,123.5815019,2.785408507,847.0745637,20.23774135,Louisiana,232
22,2016,758.9637199,17.05130398,276.7010302,6.216520308,1142.378872,29.25747965,Louisiana,233
22,2017,741.5616809,16.68560351,173.5561482,3.905122326,1315.345818,33.63801806,Louisiana,234
22,2018,1251.432818,28.20986443,103.4108984,2.331093912,1714.108651,42.25625436,Louisiana,235
22,2019,1393.255854,31.44270234,181.8635994,4.104259104,1855.967982,45.86650497,Louisiana,236
22,2020,1048.766681,23.73086213,86.29672115,1.952670341,2596.810077,62.32618329,Louisiana,237
22,2013,1797.746913,40.88924226,110.1467259,2.505255954,2247.9172,53.89102457,Louisiana,238
23,2007,256.7370689,20.364838,73.78045959,5.852396437,391.0047873,30.38092269,Maine,239
23,2009,187.9752739,14.88193423,75.90321908,6.009230315,0,0,Maine,240
23,2010,100.7891695,7.989085919,95.93967794,7.604689411,353.6338652,27.86579502,Maine,241
23,2011,246.6397409,19.51868636,51.60002379,4.08354581,522.0098451,39.72111172,Maine,242
23,2008,22.97041409,1.817303246,56.31256534,4.455165998,270.7082429,20.07793715,Maine,243
23,2012,206.9979084,16.36994912,36.44523156,2.882186544,508.6640438,36.09244949,Maine,244
23,2013,309.9863448,24.4821236,35.88787877,2.834355443,493.353388,35.40378514,Maine,245
23,2014,368.0213566,28.97875552,38.24500315,3.011489894,377.507801,29.01501589,Maine,246
23,2015,8.524641832,0.671640151,34.97440831,2.755566432,394.4464017,31.56087694,Maine,247
23,2016,207.4331683,16.28728056,32.55218425,2.555939158,353.8811036,27.35914115,Maine,248
23,2017,116.9838363,9.153264446,34.78316119,2.721568062,222.1050965,17.12315971,Maine,249
23,2018,99.54725812,7.755684468,46.61560607,3.631802008,610.1657844,47.42825232,Maine,250
23,2019,232.081835,17.98710097,44.37936934,3.439546217,595.6204559,46.71943943,Maine,251
23,2020,59.03797256,4.554375964,37.99428324,2.9309992,385.6316801,30.59995825,Maine,252
24,2007,2140.650514,39.85766338,189.5296149,3.52893083,1972.871922,36.37878384,Maryland,253
24,2008,1879.046063,34.79253124,69.7830974,1.292108078,2777.271679,47.57701302,Maryland,254
24,2009,916.7171213,16.83944247,90.06258616,1.654385746,1349.292355,21.2936615,Maryland,255
24,2010,867.6616522,15.77022037,136.5361174,2.481617869,1781.692823,29.40455826,Maryland,256
24,2012,704.8084652,12.54580613,328.8107805,5.852932406,2803.900276,51.48793978,Maryland,257
24,2013,1487.795776,26.26861293,222.5034836,3.928535074,1835.847674,32.06605567,Maryland,258
24,2014,500.0902203,8.761229394,160.0391432,2.803773376,1088.43067,16.53451098,Maryland,259
24,2015,132.8661947,2.312189315,234.7661872,4.085492706,1883.538186,33.36227615,Maryland,260
24,2016,747.6273364,12.94560925,344.8821142,5.971837666,1380.603317,24.24154554,Maryland,261
24,2017,923.6962073,15.90807618,191.8988819,3.304919959,416.0849928,8.46570945,Maryland,262
24,2018,153.5746023,2.633659167,531.423736,9.113414411,1839.134741,31.52073616,Maryland,263
24,2019,0,0,635.4510717,10.85301009,2697.610097,46.18083202,Maryland,264
24,2020,13.79391882,0.235190249,313.9688138,5.353257805,1598.117077,28.30086854,Maryland,265
24,2011,996.0669623,17.91031241,258.3018776,4.644534453,2901.573972,52.41712347,Maryland,266
25,2008,800.8856468,13.03202695,232.6907263,3.786348062,1928.795272,33.92655231,Massachusetts,267
25,2009,539.2589016,8.709338052,187.5991545,3.029833073,775.6288899,13.53250959,Massachusetts,268
25,2010,131.7024943,2.110219505,663.2250306,10.62660509,2059.806686,31.56322535,Massachusetts,269
25,2007,1860.936025,30.45731255,284.7108839,4.659767053,2106.362886,32.32446386,Massachusetts,270
25,2012,699.4719361,10.99992827,193.8646253,3.048724133,2662.009003,42.42577397,Massachusetts,271
25,2013,999.7750414,15.57334477,331.7679958,5.167899947,2655.293786,42.16686745,Massachusetts,272
25,2014,989.4446872,15.26997293,296.9085101,4.582150949,1864.661012,28.90362153,Massachusetts,273
25,2015,40.25065512,0.617012555,287.9616337,4.414237301,2053.01035,33.18507279,Massachusetts,274
25,2016,967.2053801,14.73364496,218.8439447,3.333696285,1991.244817,32.74351851,Massachusetts,275
25,2017,1005.987701,15.21469307,241.5248505,3.652854272,812.1117326,12.60558782,Massachusetts,276
25,2018,291.656136,4.388348664,623.8616745,9.386816213,2767.861586,40.12846615,Massachusetts,277
25,2019,78.87362782,1.182870434,405.8783123,6.086970621,3080.884024,46.4137666,Massachusetts,278
25,2020,212.5367012,3.197085153,214.0493162,3.219838677,1944.193384,28.42465773,Massachusetts,279
25,2011,682.0135204,10.82743835,264.2721403,4.195503786,2768.085057,43.86406918,Massachusetts,280
26,2007,1966.097461,20.69310575,48.93207909,0.51500839,4555.89532,47.70311737,Michigan,281
26,2008,2584.948525,27.35527105,74.65456617,0.790033485,5328.835579,53.35858067,Michigan,282
26,2009,1059.546424,11.26396783,165.7818093,1.762415431,2869.235968,38.03292837,Michigan,283
26,2010,1088.493947,11.59678955,68.02262062,0.72471144,3439.423663,41.69519104,Michigan,284
26,2011,4070.630963,43.29932845,85.35615242,0.907933957,4476.593203,44.58004426,Michigan,285
26,2012,1920.745282,20.37876655,52.75138606,0.559682844,5490.909176,54.95782272,Michigan,286
